Dispatch_ID,Dispatch_Date,Expected_Delivery_Date,Actual_Delivery_Date,Yarn_Type,Denier,Packaging,Quantity,Spools_per_Unit,Spool_Weight_kg,Total_Weight_kg,Vendor_Name,Customer_Name,Destination_City,Vehicle_Number,Delivery_status,Delay_Reason,Cost_INR
D02765,19-04-2022,22-04-2022,24-04-2022,FDY,300/72,Box,18,2,8,288,Laxmi Fibre Industries,Reliance Industries,Silvassa,GJ-41-X-4657,Delayed,Weather,10325.12
D02766,14-08-2024,15-08-2024,15-08-2024,POY,500/288,Pallet,12,42,15,7560,Patel Yarn Agency,Nahar Spinning,Navsari,GJ-39-X-9279,On Time,,13733.28
D02767,02-07-2024,05-07-2024,09-07-2024,FDY,600/288,Box,10,2,8,160,Modi Spinning Mills,Reliance Industries,Surat,GJ-21-X-4582,Delayed,Weather,22297.37
D02768,01-06-2022,05-06-2022,05-06-2022,POY,400/144,Pallet,12,42,15,7560,Modi Spinning Mills,Reliance Industries,Ahmedabad,GJ-41-X-4657,On Time,,14239.19
D02769,20-08-2024,22-08-2024,,POY,250/48,Pallet,15,42,15,9450,Rajesh Spinning Co,Grasim Industries,Silvassa,GJ-96-X-9935,Failed,Vehicle Breakdown,11504.05
D02770,15-09-2022,17-09-2022,17-09-2022,FDY,250/48,Box,17,2,8,272,Patel Yarn Agency,Indo Count Industries,Pune,GJ-87-X-1434,On Time,,20562.74
D02771,10-06-2022,11-06-2022,11-06-2022,POY,500/288,Pallet,13,42,15,8190,Krishna Textile Suppliers,Bombay Dyeing,Surat,GJ-21-X-7912,On Time,,13828.73
D02772,18-02-2022,23-02-2022,,POY,300/72,Pallet,16,42,15,10080,Hanuman Yarn Mills,SRF Limited,Surat,GJ-39-X-9279,Delayed,Alternate_Contact_Delivery,6127.56
D02773,15-01-2022,16-01-2022,16-01-2022,FDY,250/48,Box,6,2,8,96,Hanuman Yarn Mills,Welspun Textiles,Navsari,GJ-14-X-1488,On Time,,24509.39
D02774,18-10-2022,22-10-2022,22-10-2022,FDY,300/72,Box,15,2,8,240,Ahmedabad Fibre Works,Vardhman Group,Silvassa,GJ-27-X-2679,On Time,,11181.32
D02775,08-03-2023,10-03-2023,10-03-2023,FDY,300/72,Box,30,2,8,480,Om Sai Yarn Traders,Sutlej Textiles,Pune,GJ-39-X-9279,On Time,,20779.05
D02776,31-10-2022,04-11-2022,07-11-2022,FDY,250/48,Box,15,2,8,240,Krishna Textile Suppliers,Trident Group,Vapi,GJ-21-X-7912,Delayed,Vehicle Breakdown,24762.23
D02777,06-08-2023,10-08-2023,10-08-2023,POY,300/72,Pallet,15,42,15,9450,Rajesh Spinning Co,Reliance Industries,Silvassa,GJ-27-X-2679,On Time,,11544.18
D02778,07-06-2022,09-06-2022,09-06-2022,POY,300/72,Pallet,14,42,15,8820,Ahmedabad Fibre Works,Indo Count Industries,Surat,GJ-41-X-4657,On Time,,6765.51
D02779,29-09-2022,02-10-2022,02-10-2022,FDY,250/48,Box,28,2,8,448,Hanuman Yarn Mills,Reliance Industries,Surat,GJ-21-X-4582,On Time,,8959.2
D02780,07-10-2022,08-10-2022,08-10-2022,FDY,300/72,Box,6,2,8,96,Hanuman Yarn Mills,Century Textiles,Vapi,GJ-13-X-5506,On Time,,17376.55
D02781,03-07-2022,08-07-2022,08-07-2022,POY,300/72,Pallet,13,42,15,8190,Gujarat Yarn Traders,Arvind Mills,Navsari,GJ-27-X-2679,On Time,,17767.48
D02782,16-10-2023,19-10-2023,19-10-2023,POY,500/96,Pallet,16,42,15,10080,Om Sai Yarn Traders,Sutlej Textiles,Pune,GJ-87-X-1434,On Time,,16139.84
D02783,25-02-2022,02-03-2022,02-03-2022,FDY,250/48,Box,24,2,8,384,Hanuman Yarn Mills,Pasupati Fabrics,Navsari,GJ-87-X-1434,On Time,,20030.49
D02784,02-06-2023,04-06-2023,04-06-2023,POY,250/48,Pallet,15,42,15,9450,Ahmedabad Fibre Works,Century Textiles,Pune,GJ-91-X-2824,On Time,,11172.15
D02785,23-02-2023,28-02-2023,28-02-2023,FDY,250/48,Box,21,2,8,336,Bhavna Textiles,Unknown,Ahmedabad,GJ-14-X-1488,On Time,,11539.59
D02786,22-03-2024,24-03-2024,24-03-2024,POY,400/144,Pallet,15,42,15,9450,Navsari Thread Co,Bombay Dyeing,Surat,GJ-21-X-4582,On Time,,7855.07
D02787,01-08-2024,06-08-2024,11-08-2024,POY,500/288,Pallet,15,42,15,9450,Krishna Textile Suppliers,Welspun Textiles,Navsari,GJ-27-X-2679,Delayed,Weather,8536.71
D02788,15-06-2024,19-06-2024,19-06-2024,FDY,600/288,Box,13,2,8,208,Gujarat Yarn Traders,Welspun Textiles,Pune,GJ-13-X-5506,On Time,,10965.24
D02789,10-02-2023,12-02-2023,12-02-2023,POY,300/72,Pallet,16,42,15,10080,Vapi Yarn Depot,Grasim Industries,Vapi,GJ-41-X-4657,On Time,,18907.94
D02790,04-07-2024,07-07-2024,14-07-2024,FDY,300/72,Box,24,2,8,384,Bhavna Textiles,Indo Rama Synthetics,Pune,GJ-13-X-5506,Delayed,Weather,13544.88
D02791,18-02-2022,23-02-2022,,POY,500/288,Pallet,14,42,15,8820,Om Sai Yarn Traders,Nahar Spinning,Vapi,GJ-27-X-2679,Failed,Weather,15889.11
D02792,23-08-2023,24-08-2023,30-08-2023,FDY,300/72,Box,18,2,8,288,Krishna Textile Suppliers,JBF Industries,Silvassa,GJ-13-X-5506,Delayed,Weather,17632.76
D02793,20-03-2022,24-03-2022,24-03-2022,POY,500/96,Pallet,12,42,15,7560,Vapi Yarn Depot,Unknown,Ahmedabad,GJ-41-X-4657,On Time,,8065.79
D02794,06-09-2022,10-09-2022,10-09-2022,POY,250/48,Pallet,13,42,15,8190,Bhavna Textiles,Pasupati Fabrics,Silvassa,GJ-41-X-4657,On Time,,5097.41
D02795,08-09-2022,09-09-2022,09-09-2022,FDY,250/48,Box,10,2,8,160,Hanuman Yarn Mills,Century Textiles,Vapi,GJ-91-X-2824,On Time,,7247.94
D02796,13-05-2023,16-05-2023,16-05-2023,POY,250/48,Pallet,15,42,15,9450,Unknown,Unknown,Navsari,GJ-13-X-5506,On Time,,7103.98
D02797,13-05-2024,15-05-2024,17-05-2024,FDY,300/72,Box,15,2,8,240,Rajesh Spinning Co,Sutlej Textiles,Pune,GJ-13-X-5506,Delayed,Route Issue,9374.37
D02798,19-10-2022,23-10-2022,23-10-2022,FDY,250/48,Box,15,2,8,240,Navsari Thread Co,Vardhman Group,Vapi,GJ-21-X-4582,On Time,,6171.65
D02799,25-05-2022,30-05-2022,,POY,500/96,Pallet,15,42,15,9450,Rajesh Spinning Co,Indo Count Industries,Vapi,GJ-91-X-2824,Failed,Vehicle Breakdown,18135.78
D02800,19-10-2023,20-10-2023,20-10-2023,POY,500/288,Pallet,16,42,15,10080,Modi Spinning Mills,Garden Silk Mills,Vapi,GJ-27-X-2679,On Time,,5252.38
D02801,14-07-2023,16-07-2023,16-07-2023,POY,500/288,Pallet,12,42,15,7560,Om Sai Yarn Traders,Himatsingka Seide,Silvassa,GJ-41-X-4657,On Time,,8203.55
D02802,12-04-2022,16-04-2022,16-04-2022,POY,500/96,Pallet,12,42,15,7560,Surat Silk House,Sutlej Textiles,Pune,GJ-21-X-4582,On Time,,19902.25
D02803,15-02-2023,19-02-2023,19-02-2023,POY,250/48,Pallet,12,42,15,7560,Gujarat Yarn Traders,Century Textiles,Navsari,GJ-41-X-4657,On Time,,21586.73
D02804,09-04-2022,12-04-2022,12-04-2022,POY,500/96,Pallet,14,42,15,8820,Ahmedabad Fibre Works,Indo Count Industries,Surat,GJ-91-X-2824,On Time,,9677.24
D02805,04-12-2023,07-12-2023,07-12-2023,FDY,250/48,Box,20,2,8,320,Rajesh Spinning Co,Arvind Mills,Vapi,GJ-39-X-9279,On Time,,12220.28
D02806,12-11-2023,15-11-2023,15-11-2023,FDY,250/48,Box,6,2,8,96,Unknown,Trident Group,Pune,GJ-21-X-4582,On Time,,11398.2
D02807,11-03-2024,15-03-2024,15-03-2024,FDY,250/48,Box,12,2,8,192,Ahmedabad Fibre Works,Alok Industries,Surat,GJ-91-X-2824,On Time,,5138.75
D02808,07-11-2023,10-11-2023,13-11-2023,FDY,300/72,Box,13,2,8,208,Surat Silk House,Unknown,Surat,GJ-21-X-4582,Delayed,Weather,14951.01
D02809,21-05-2022,26-05-2022,26-05-2022,FDY,250/48,Box,28,2,8,448,Shree Ram Textiles,Vardhman Group,Silvassa,GJ-13-X-5506,On Time,,9725.16
D02810,19-09-2022,20-09-2022,20-09-2022,POY,250/48,Pallet,13,42,15,8190,Modi Spinning Mills,Grasim Industries,Silvassa,GJ-41-X-4657,On Time,,17359.02
D02811,19-11-2022,20-11-2022,20-11-2022,FDY,250/48,Box,17,2,8,272,Krishna Textile Suppliers,Indo Count Industries,Silvassa,GJ-14-X-1488,On Time,,6552.8
D02812,19-08-2024,23-08-2024,23-08-2024,FDY,600/288,Box,16,2,8,256,Hanuman Yarn Mills,Filatex India,Ahmedabad,GJ-91-X-2824,On Time,,17615.11
D02813,11-09-2023,12-09-2023,12-09-2023,FDY,600/288,Box,26,2,8,416,Patel Yarn Agency,SRF Limited,Silvassa,GJ-87-X-1434,On Time,,15848.17
D02814,11-02-2024,14-02-2024,17-02-2024,POY,250/48,Pallet,12,42,15,7560,Krishna Textile Suppliers,Grasim Industries,Surat,GJ-96-X-9935,Delayed,Alternate_Contact_Delivery,6424.53
D02815,09-04-2022,13-04-2022,13-04-2022,FDY,600/288,Box,5,2,8,80,Silvassa Fibre Co,Vardhman Group,Pune,GJ-91-X-2824,On Time,,6502.03
D02816,23-07-2023,24-07-2023,24-07-2023,POY,500/96,Pallet,13,42,15,8190,Surat Silk House,Nahar Spinning,Surat,GJ-21-X-7912,On Time,,8243.26
D02817,25-09-2023,28-09-2023,28-09-2023,POY,500/96,Pallet,12,42,15,7560,Bhavna Textiles,Garden Silk Mills,Ahmedabad,GJ-39-X-9279,On Time,,16112.58
D02818,07-09-2024,09-09-2024,09-09-2024,FDY,250/48,Box,19,2,8,304,Hanuman Yarn Mills,Pasupati Fabrics,Navsari,GJ-91-X-2824,On Time,,19011.75
D02819,04-07-2024,09-07-2024,09-07-2024,POY,500/288,Pallet,12,42,15,7560,Vapi Yarn Depot,Grasim Industries,Pune,GJ-96-X-9935,On Time,,17128.53
D02820,25-11-2023,29-11-2023,29-11-2023,FDY,300/72,Box,9,2,8,144,Vapi Yarn Depot,Nahar Spinning,Navsari,GJ-27-X-2679,On Time,,20921.29
D02821,03-03-2023,07-03-2023,07-03-2023,POY,400/144,Pallet,16,42,15,10080,Laxmi Fibre Industries,Bombay Dyeing,Surat,GJ-96-X-9935,On Time,,24612.49
D02822,27-02-2022,28-02-2022,28-02-2022,POY,300/72,Pallet,13,42,15,8190,Modi Spinning Mills,Nahar Spinning,Silvassa,GJ-21-X-7912,On Time,,10236.06
D02823,19-09-2022,22-09-2022,22-09-2022,FDY,600/288,Box,11,2,8,176,Rajesh Spinning Co,Century Textiles,Surat,GJ-27-X-2679,On Time,,22374.85
D02824,02-02-2022,05-02-2022,05-02-2022,POY,500/288,Pallet,15,42,15,9450,Surat Silk House,Himatsingka Seide,Ahmedabad,GJ-27-X-2679,On Time,,23155.2
D02825,28-03-2022,29-03-2022,29-03-2022,FDY,300/72,Box,9,2,8,144,Surat Silk House,Indo Count Industries,Navsari,GJ-96-X-9935,On Time,,24832.53
D02826,29-06-2023,02-07-2023,02-07-2023,POY,250/48,Pallet,16,42,15,10080,Bhavna Textiles,Sutlej Textiles,Vapi,GJ-13-X-5506,On Time,,22984.63
D02827,10-02-2024,14-02-2024,14-02-2024,POY,300/72,Pallet,14,42,15,8820,Silvassa Fibre Co,Indo Count Industries,Pune,GJ-41-X-4657,On Time,,16732.72
D02828,29-07-2022,01-08-2022,01-08-2022,FDY,300/72,Box,28,2,8,448,Hanuman Yarn Mills,Indo Rama Synthetics,Silvassa,GJ-21-X-7912,On Time,,12493.14
D02829,21-04-2023,24-04-2023,27-04-2023,POY,250/48,Pallet,12,42,15,7560,Bhavna Textiles,Raymond Fabrics,Surat,GJ-27-X-2679,Delayed,Route Issue,10559.18
D02830,12-04-2024,17-04-2024,17-04-2024,POY,500/288,Pallet,15,42,15,9450,Surat Silk House,Pasupati Fabrics,Pune,GJ-96-X-9935,On Time,,15063.44
D02831,18-10-2023,22-10-2023,,POY,300/72,Pallet,16,42,15,10080,Modi Spinning Mills,Welspun Textiles,Silvassa,GJ-14-X-1488,Failed,Route Issue,23418.32
D02832,28-08-2023,01-09-2023,01-09-2023,FDY,600/288,Box,28,2,8,448,Shree Ram Textiles,Grasim Industries,Ahmedabad,GJ-87-X-1434,On Time,,13264.41
D02833,16-06-2023,20-06-2023,20-06-2023,POY,500/96,Pallet,12,42,15,7560,Om Sai Yarn Traders,Unknown,Pune,GJ-13-X-5506,On Time,,6550.53
D02834,15-04-2022,16-04-2022,,FDY,600/288,Box,5,2,8,80,Shree Ram Textiles,Bombay Dyeing,Ahmedabad,GJ-91-X-2824,Failed,Route Issue,
D02835,26-07-2023,31-07-2023,31-07-2023,POY,300/72,Pallet,13,42,15,8190,Laxmi Fibre Industries,Filatex India,Vapi,GJ-14-X-1488,On Time,,7256.4
D02836,16-07-2023,19-07-2023,19-07-2023,POY,500/288,Pallet,16,42,15,10080,Shree Ram Textiles,Alok Industries,Pune,GJ-39-X-9279,On Time,,17357.73
D02837,11-08-2024,12-08-2024,12-08-2024,FDY,250/48,Box,6,2,8,96,Patel Yarn Agency,Raymond Fabrics,Pune,GJ-27-X-2679,On Time,,10147.76
D02838,24-12-2023,29-12-2023,,FDY,250/48,Box,12,2,8,192,Om Sai Yarn Traders,Himatsingka Seide,Navsari,GJ-87-X-1434,Failed,Vehicle Breakdown,19092.61
D02839,07-11-2023,11-11-2023,13-11-2023,FDY,300/72,Box,15,2,8,240,Om Sai Yarn Traders,Indo Rama Synthetics,Pune,GJ-87-X-1434,Delayed,Alternate_Contact_Delivery,5574.3
D02840,19-10-2023,24-10-2023,26-10-2023,FDY,600/288,Box,24,2,8,384,Unknown,Century Textiles,Vapi,GJ-27-X-2679,Delayed,Alternate_Contact_Delivery,17514.69
D02841,03-07-2023,04-07-2023,04-07-2023,FDY,600/288,Box,26,2,8,416,Laxmi Fibre Industries,Indo Count Industries,Pune,GJ-91-X-2824,On Time,,6113.5
D02842,25-02-2024,01-03-2024,01-03-2024,POY,400/144,Pallet,14,42,15,8820,Navsari Thread Co,Unknown,Ahmedabad,GJ-21-X-4582,On Time,,17348.03
D02843,01-12-2022,02-12-2022,03-12-2022,FDY,250/48,Box,20,2,8,320,Gujarat Yarn Traders,Filatex India,Navsari,GJ-96-X-9935,Delayed,Vehicle Breakdown,18265.71
D02844,16-06-2024,18-06-2024,21-06-2024,POY,400/144,Pallet,12,42,15,7560,Shree Ram Textiles,Filatex India,Ahmedabad,GJ-27-X-2679,Delayed,Route Issue,17664.05
D02845,11-10-2022,13-10-2022,13-10-2022,FDY,250/48,Box,30,2,8,480,Krishna Textile Suppliers,Reliance Industries,Navsari,GJ-21-X-7912,On Time,,19454.72
D02846,13-05-2023,16-05-2023,16-05-2023,FDY,300/72,Box,12,2,8,192,Om Sai Yarn Traders,Himatsingka Seide,Ahmedabad,GJ-39-X-9279,On Time,,11605.16
D02847,23-03-2024,28-03-2024,29-03-2024,FDY,300/72,Box,19,2,8,304,Bhavna Textiles,JBF Industries,Vapi,GJ-41-X-4657,Delayed,Vehicle Breakdown,22042
D02848,19-02-2024,23-02-2024,23-02-2024,FDY,600/288,Box,26,2,8,416,Silvassa Fibre Co,Pasupati Fabrics,Vapi,GJ-87-X-1434,On Time,,10095.91
D02849,19-04-2024,21-04-2024,24-04-2024,POY,500/96,Pallet,12,42,15,7560,Unknown,Alok Industries,Navsari,GJ-13-X-5506,Delayed,Route Issue,20192.16
D02850,01-03-2023,06-03-2023,10-03-2023,POY,500/288,Pallet,13,42,15,8190,Modi Spinning Mills,SRF Limited,Pune,GJ-14-X-1488,Delayed,Route Issue,9034.33
D02851,22-09-2023,25-09-2023,25-09-2023,POY,500/288,Pallet,13,42,15,8190,Patel Yarn Agency,Bombay Dyeing,Ahmedabad,GJ-41-X-4657,On Time,,5435.31
D02852,29-07-2022,01-08-2022,02-08-2022,POY,300/72,Pallet,13,42,15,8190,Vapi Yarn Depot,Indo Rama Synthetics,Navsari,GJ-14-X-1488,Delayed,Vehicle Breakdown,13976.47
D02853,06-11-2023,08-11-2023,09-11-2023,FDY,600/288,Box,11,2,8,176,Gujarat Yarn Traders,Indo Rama Synthetics,Surat,GJ-27-X-2679,Delayed,Route Issue,22686.21
D02854,14-04-2024,17-04-2024,17-04-2024,POY,250/48,Pallet,16,42,15,10080,Gujarat Yarn Traders,Filatex India,Silvassa,GJ-41-X-4657,On Time,,18053.83
D02855,31-03-2022,02-04-2022,02-04-2022,POY,400/144,Pallet,13,42,15,8190,Vapi Yarn Depot,SRF Limited,Surat,GJ-14-X-1488,On Time,,23170.1
D02856,12-08-2024,16-08-2024,16-08-2024,FDY,600/288,Box,28,2,8,448,Krishna Textile Suppliers,Alok Industries,Pune,GJ-96-X-9935,On Time,,11841.36
D02857,05-12-2022,10-12-2022,12-12-2022,FDY,300/72,Box,14,2,8,224,Hanuman Yarn Mills,Filatex India,Ahmedabad,GJ-13-X-5506,Delayed,Route Issue,22217.35
D02858,26-01-2023,31-01-2023,31-01-2023,POY,250/48,Pallet,13,42,15,8190,Surat Silk House,Himatsingka Seide,Surat,GJ-27-X-2679,On Time,,15747.12
D02859,30-07-2022,02-08-2022,03-08-2022,POY,500/96,Pallet,12,42,15,7560,Bhavna Textiles,Filatex India,Pune,GJ-96-X-9935,Delayed,Route Issue,5569.84
D02860,30-03-2024,03-04-2024,03-04-2024,POY,300/72,Pallet,13,42,15,8190,Krishna Textile Suppliers,Sutlej Textiles,Ahmedabad,GJ-96-X-9935,On Time,,24981.5
D02861,20-04-2022,24-04-2022,,FDY,300/72,Box,10,2,8,160,Om Sai Yarn Traders,Indo Count Industries,Pune,GJ-27-X-2679,Failed,Weather,22575.01
D02862,16-10-2022,17-10-2022,17-10-2022,POY,500/96,Pallet,16,42,15,10080,Surat Silk House,JBF Industries,Navsari,GJ-21-X-7912,On Time,,18333.93
D02863,26-02-2024,27-02-2024,27-02-2024,POY,300/72,Pallet,15,42,15,9450,Vapi Yarn Depot,Garden Silk Mills,Silvassa,GJ-87-X-1434,On Time,,20330.21
D02864,01-09-2024,02-09-2024,02-09-2024,FDY,600/288,Box,16,2,8,256,Om Sai Yarn Traders,Trident Group,Ahmedabad,GJ-14-X-1488,On Time,,19137.38
D02865,15-09-2022,18-09-2022,18-09-2022,FDY,300/72,Box,18,2,8,288,Unknown,Reliance Industries,Surat,GJ-39-X-9279,On Time,,24370.7
D02866,10-01-2023,13-01-2023,13-01-2023,FDY,300/72,Box,22,2,8,352,Hanuman Yarn Mills,Arvind Mills,Navsari,GJ-21-X-7912,On Time,,14398.52
D02867,20-01-2023,24-01-2023,,POY,250/48,Pallet,14,42,15,8820,Ahmedabad Fibre Works,JBF Industries,Surat,GJ-39-X-9279,Failed,Weather,11874.24
D02868,14-11-2023,15-11-2023,15-11-2023,POY,250/48,Pallet,14,42,15,8820,Hanuman Yarn Mills,Welspun Textiles,Silvassa,GJ-27-X-2679,On Time,,10396.99
D02869,15-08-2022,18-08-2022,18-08-2022,POY,300/72,Pallet,12,42,15,7560,Krishna Textile Suppliers,Reliance Industries,Ahmedabad,GJ-21-X-7912,On Time,,19915.12
D02870,15-05-2023,18-05-2023,18-05-2023,FDY,300/72,Box,10,2,8,160,Silvassa Fibre Co,Filatex India,Vapi,GJ-14-X-1488,On Time,,9024.37
D02871,13-12-2022,14-12-2022,,FDY,600/288,Box,21,2,8,336,Ahmedabad Fibre Works,Grasim Industries,Silvassa,GJ-21-X-7912,Failed,Vehicle Breakdown,11950.52
D02872,03-03-2023,04-03-2023,08-03-2023,FDY,300/72,Box,26,2,8,416,Shree Ram Textiles,Reliance Industries,Navsari,GJ-91-X-2824,Delayed,Route Issue,9779.67
D02873,18-11-2022,19-11-2022,20-11-2022,FDY,600/288,Box,16,2,8,256,Modi Spinning Mills,Pasupati Fabrics,Ahmedabad,GJ-13-X-5506,Delayed,Vehicle Breakdown,8757.59
D02874,14-09-2023,18-09-2023,18-09-2023,POY,500/288,Pallet,15,42,15,9450,Silvassa Fibre Co,Raymond Fabrics,Navsari,GJ-96-X-9935,On Time,,13593.13
D02875,21-07-2023,24-07-2023,24-07-2023,FDY,600/288,Box,20,2,8,320,Navsari Thread Co,Filatex India,Pune,GJ-27-X-2679,On Time,,19790.52
D02876,22-05-2023,23-05-2023,23-05-2023,POY,500/288,Pallet,13,42,15,8190,Modi Spinning Mills,Grasim Industries,Vapi,GJ-13-X-5506,On Time,,8664.05
D02877,29-08-2022,30-08-2022,,FDY,300/72,Box,9,2,8,144,Krishna Textile Suppliers,Sutlej Textiles,Pune,GJ-27-X-2679,Failed,Weather,20323.02
D02878,08-08-2023,13-08-2023,15-08-2023,POY,400/144,Pallet,12,42,15,7560,Bhavna Textiles,Arvind Mills,Silvassa,GJ-14-X-1488,Delayed,Alternate_Contact_Delivery,11917.97
D02879,13-01-2022,17-01-2022,17-01-2022,POY,500/96,Pallet,13,42,15,8190,Ahmedabad Fibre Works,JBF Industries,Vapi,GJ-96-X-9935,On Time,,14806.64
D02880,13-11-2022,14-11-2022,14-11-2022,POY,400/144,Pallet,16,42,15,10080,Patel Yarn Agency,Arvind Mills,Pune,GJ-27-X-2679,On Time,,9341.76
D02881,12-11-2022,17-11-2022,17-11-2022,POY,500/96,Pallet,13,42,15,8190,Krishna Textile Suppliers,Sutlej Textiles,Surat,GJ-27-X-2679,On Time,,9140.37
D02882,29-04-2022,04-05-2022,04-05-2022,FDY,300/72,Box,7,2,8,112,Unknown,Bombay Dyeing,Pune,GJ-87-X-1434,On Time,,
D02883,27-02-2023,01-03-2023,06-03-2023,FDY,600/288,Box,26,2,8,416,Modi Spinning Mills,Raymond Fabrics,Silvassa,GJ-21-X-4582,Delayed,Route Issue,23602.35
D02884,08-04-2024,10-04-2024,10-04-2024,FDY,600/288,Box,5,2,8,80,Ahmedabad Fibre Works,Grasim Industries,Pune,GJ-41-X-4657,On Time,,19400.84
D02885,01-03-2023,04-03-2023,04-03-2023,POY,500/96,Pallet,13,42,15,8190,Unknown,Trident Group,Navsari,GJ-41-X-4657,On Time,,18677.37
D02886,18-05-2023,21-05-2023,21-05-2023,FDY,250/48,Box,12,2,8,192,Bhavna Textiles,Pasupati Fabrics,Navsari,GJ-21-X-7912,On Time,,9017.38
D02887,01-03-2023,05-03-2023,10-03-2023,POY,300/72,Pallet,14,42,15,8820,Shree Ram Textiles,Nahar Spinning,Silvassa,GJ-41-X-4657,Delayed,Route Issue,14095.5
D02888,18-10-2022,23-10-2022,23-10-2022,FDY,300/72,Box,9,2,8,144,Vapi Yarn Depot,Indo Rama Synthetics,Vapi,GJ-27-X-2679,On Time,,20986.45
D02889,02-12-2022,03-12-2022,03-12-2022,POY,250/48,Pallet,12,42,15,7560,Krishna Textile Suppliers,Alok Industries,Silvassa,GJ-14-X-1488,On Time,,6785.07
D02890,09-05-2024,12-05-2024,12-05-2024,FDY,300/72,Box,18,2,8,288,Hanuman Yarn Mills,Garden Silk Mills,Vapi,GJ-21-X-7912,On Time,,21099.13
D02891,14-11-2023,15-11-2023,17-11-2023,FDY,600/288,Box,23,2,8,368,Vapi Yarn Depot,Indo Count Industries,Ahmedabad,GJ-21-X-7912,Delayed,Route Issue,18418.06
D02892,24-02-2023,28-02-2023,28-02-2023,FDY,300/72,Box,30,2,8,480,Hanuman Yarn Mills,Nahar Spinning,Silvassa,GJ-91-X-2824,On Time,,13738.59
D02893,21-12-2022,25-12-2022,30-12-2022,POY,500/288,Pallet,16,42,15,10080,Silvassa Fibre Co,Pasupati Fabrics,Vapi,GJ-27-X-2679,Delayed,Weather,19824.95
D02894,17-08-2023,20-08-2023,20-08-2023,FDY,250/48,Box,8,2,8,128,Bhavna Textiles,Alok Industries,Surat,GJ-14-X-1488,On Time,,16238.41
D02895,02-07-2023,03-07-2023,,POY,400/144,Pallet,15,42,15,9450,Silvassa Fibre Co,Arvind Mills,Navsari,GJ-27-X-2679,Delayed,Alternate_Contact_Delivery,22158.33
D02896,12-01-2022,17-01-2022,17-01-2022,POY,250/48,Pallet,13,42,15,8190,Ahmedabad Fibre Works,JBF Industries,Navsari,GJ-21-X-4582,On Time,,8277.84
D02897,31-05-2023,02-06-2023,,POY,500/288,Pallet,14,42,15,8820,Surat Silk House,Century Textiles,Silvassa,GJ-21-X-7912,Delayed,Alternate_Contact_Delivery,7012.81
D02898,18-05-2023,21-05-2023,28-05-2023,FDY,600/288,Box,15,2,8,240,Navsari Thread Co,Century Textiles,Surat,GJ-87-X-1434,Delayed,Weather,10212.8
D02899,15-09-2022,20-09-2022,20-09-2022,POY,250/48,Pallet,15,42,15,9450,Om Sai Yarn Traders,Trident Group,Navsari,GJ-27-X-2679,On Time,,15995.03
D02900,18-09-2024,23-09-2024,23-09-2024,POY,500/288,Pallet,16,42,15,10080,Gujarat Yarn Traders,Welspun Textiles,Vapi,GJ-41-X-4657,On Time,,24620.41
D02901,20-11-2022,23-11-2022,,FDY,300/72,Box,9,2,8,144,Bhavna Textiles,Welspun Textiles,Ahmedabad,GJ-14-X-1488,Failed,Vehicle Breakdown,11117.1
D02902,17-03-2024,21-03-2024,22-03-2024,POY,500/288,Pallet,16,42,15,10080,Shree Ram Textiles,Raymond Fabrics,Pune,GJ-27-X-2679,Delayed,Vehicle Breakdown,24323.52
D02903,28-03-2023,30-03-2023,30-03-2023,FDY,300/72,Box,17,2,8,272,Om Sai Yarn Traders,JBF Industries,Vapi,GJ-91-X-2824,On Time,,20064.75
D02904,20-04-2022,25-04-2022,25-04-2022,FDY,250/48,Box,11,2,8,176,Navsari Thread Co,Grasim Industries,Silvassa,GJ-21-X-7912,On Time,,7869.03
D02905,09-07-2023,12-07-2023,18-07-2023,FDY,250/48,Box,26,2,8,416,Surat Silk House,Raymond Fabrics,Ahmedabad,GJ-87-X-1434,Delayed,Weather,16658.49
D02906,15-08-2023,18-08-2023,18-08-2023,FDY,600/288,Box,5,2,8,80,Navsari Thread Co,Sutlej Textiles,Navsari,GJ-87-X-1434,On Time,,16294.34
D02907,10-09-2022,15-09-2022,15-09-2022,POY,500/96,Pallet,13,42,15,8190,Krishna Textile Suppliers,Century Textiles,Pune,GJ-41-X-4657,On Time,,13604.12
D02908,10-03-2024,13-03-2024,13-03-2024,FDY,250/48,Box,11,2,8,176,Modi Spinning Mills,Reliance Industries,Ahmedabad,GJ-96-X-9935,On Time,,16002.27
D02909,13-04-2022,18-04-2022,18-04-2022,POY,250/48,Pallet,16,42,15,10080,Modi Spinning Mills,Garden Silk Mills,Navsari,GJ-21-X-4582,On Time,,9090.57
D02910,10-02-2024,14-02-2024,14-02-2024,POY,500/96,Pallet,15,42,15,9450,Silvassa Fibre Co,Arvind Mills,Ahmedabad,GJ-13-X-5506,On Time,,11178.35
D02911,21-03-2022,25-03-2022,25-03-2022,POY,500/96,Pallet,12,42,15,7560,Shree Ram Textiles,Trident Group,Vapi,GJ-41-X-4657,On Time,,21844.32
D02912,02-03-2022,04-03-2022,04-03-2022,POY,250/48,Pallet,13,42,15,8190,Krishna Textile Suppliers,Trident Group,Surat,GJ-27-X-2679,On Time,,12150.43
D02913,14-01-2022,18-01-2022,18-01-2022,POY,500/96,Pallet,15,42,15,9450,Vapi Yarn Depot,JBF Industries,Pune,GJ-41-X-4657,On Time,,8394.95
